# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database may not 
# have received Director's approval.  Any such data values are qualified as provisional and 
# are subject to revision.  Provisional data are released on the condition that neither the 
# USGS nor the United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-11-20 11:18:13 -05:00	(natwebsdas01)
#
# US Geological Survey groundwater levels
#
# Data for the following 1 site(s) are contained in this file
#    USGS 430429089230301 DN-07/09E/23-0005
# -----------------------------------------------------------------------------------
#
# The fields in this file include:
# ---------------------------------
# agency_cd     Agency code
# site_no       USGS site number
# site_tp_cd    Site type code
# lev_dt        Date level measured
# lev_tm        Time level measured
# lev_tz_cd     Time datum
# lev_va        Water-level value in feet below land surface
# sl_lev_va     Water-level value in feet above specific vertical datum
# sl_datum_cd   Referenced vertical datum
# lev_status_cd Status
# lev_agency_cd Measuring agency
#
# Referenced agency codes (lev_agency_cd) included in this output
#
#     ""         Not Determined
#     USGS       U.S. Geological Survey
#     WI001      Wisconsin Department of Natural Resources
#     WI013      Wisconsin Department of Administration
#
# Referenced site type codes (site_tp_cd) included in this output
#
#     GW         Well
#
# Referenced water-level site status codes (lev_status_cd) included in this output
#
#     ""         The reported water-level measurement represents a static level
#
#
agency_cd	site_no	site_tp_cd	lev_dt	lev_tm	lev_tz_cd	lev_va	sl_lev_va	sl_datum_cd	lev_status_cd	lev_agency_cd
5s	15s	6s	10d	5d	5s	12s	12s	10s	1s	5s
USGS	430429089230301	GW	1946-07-21		UTC	105.28				
USGS	430429089230301	GW	1946-08-12		UTC	102.91				
USGS	430429089230301	GW	1946-09-11		UTC	102.28				
USGS	430429089230301	GW	1946-11-13		UTC	102.05				
USGS	430429089230301	GW	1947-01-07		UTC	101.63				
USGS	430429089230301	GW	1947-02-15		UTC	100.75				
USGS	430429089230301	GW	1947-03-18		UTC	100.11				
USGS	430429089230301	GW	1947-03-24		UTC	99.62				
USGS	430429089230301	GW	1947-04-14		UTC	98.13				
USGS	430429089230301	GW	1947-05-12		UTC	100.07				
USGS	430429089230301	GW	1947-06-05		UTC	94.08				
USGS	430429089230301	GW	1947-07-03		UTC	94.9				
USGS	430429089230301	GW	1947-07-31		UTC	96.73				
USGS	430429089230301	GW	1947-08-28		UTC	97.06				
USGS	430429089230301	GW	1947-09-26		UTC	94.94				
USGS	430429089230301	GW	1947-10-23		UTC	94.55				
USGS	430429089230301	GW	1947-11-15		UTC	92.96				
USGS	430429089230301	GW	1947-12-11		UTC	91.36				
USGS	430429089230301	GW	1948-01-05		UTC	89.08				
USGS	430429089230301	GW	1948-02-12		UTC	90.94				
USGS	430429089230301	GW	1948-03-12		UTC	89.38				
USGS	430429089230301	GW	1948-04-15		UTC	87.68				
USGS	430429089230301	GW	1948-05-10		UTC	86.55				
USGS	430429089230301	GW	1948-06-10		UTC	97.97				
USGS	430429089230301	GW	1948-07-16		UTC	98.32				
USGS	430429089230301	GW	1948-08-05		UTC	96.77				
USGS	430429089230301	GW	1948-09-02		UTC	97.61				
USGS	430429089230301	GW	1948-09-29		UTC	97.03				
USGS	430429089230301	GW	1948-10-14		UTC	92.83				
USGS	430429089230301	GW	1948-10-27		UTC	90.66				
USGS	430429089230301	GW	1948-11-15		UTC	93.07				
USGS	430429089230301	GW	1948-12-03		UTC	94.4				
USGS	430429089230301	GW	1949-01-03		UTC	92.95				
USGS	430429089230301	GW	1949-02-28		UTC	92.74				
USGS	430429089230301	GW	1949-03-15		UTC	92.42				
USGS	430429089230301	GW	1949-04-15		UTC	92.11				
USGS	430429089230301	GW	1949-05-02		UTC	91.79				
USGS	430429089230301	GW	1949-06-06		UTC	95.35				
USGS	430429089230301	GW	1949-07-25		UTC	95.27				
USGS	430429089230301	GW	1949-08-15		UTC	95.48				
USGS	430429089230301	GW	1949-09-14		UTC	95.68				
USGS	430429089230301	GW	1949-10-15		UTC	93.50				
USGS	430429089230301	GW	1949-11-29		UTC	91.32				
USGS	430429089230301	GW	1949-12-15		UTC	91.15				
USGS	430429089230301	GW	1950-01-15		UTC	90.97				
USGS	430429089230301	GW	1950-02-10		UTC	90.8				
USGS	430429089230301	GW	1950-03-15		UTC	90.71				
USGS	430429089230301	GW	1950-04-12		UTC	90.61				
USGS	430429089230301	GW	1950-05-12		UTC	90.26				
USGS	430429089230301	GW	1950-06-15		UTC	90.69				
USGS	430429089230301	GW	1950-07-11		UTC	91.12				
USGS	430429089230301	GW	1950-08-15		UTC	90.04				
USGS	430429089230301	GW	1950-09-14		UTC	88.96				
USGS	430429089230301	GW	1950-10-15		UTC	88.52				
USGS	430429089230301	GW	1950-11-16		UTC	88.07				
USGS	430429089230301	GW	1950-12-15		UTC	88.17				
USGS	430429089230301	GW	1951-01-25		UTC	88.27				
USGS	430429089230301	GW	1951-02-15		UTC	88.05				
USGS	430429089230301	GW	1951-03-15		UTC	87.84				
USGS	430429089230301	GW	1951-04-15		UTC	87.62				
USGS	430429089230301	GW	1951-05-25		UTC	87.4				
USGS	430429089230301	GW	1951-06-15		UTC	87.70				
USGS	430429089230301	GW	1951-07-25		UTC	88				
USGS	430429089230301	GW	1951-08-15		UTC	87.37				
USGS	430429089230301	GW	1951-09-15		UTC	86.73				
USGS	430429089230301	GW	1951-10-01		UTC	86.1				
USGS	430429089230301	GW	1951-11-15		UTC	86.25				
USGS	430429089230301	GW	1951-12-12		UTC	86.4				
USGS	430429089230301	GW	1952-01-15		UTC	86.02				
USGS	430429089230301	GW	1952-02-15		UTC	85.65				
USGS	430429089230301	GW	1952-03-15		UTC	85.27				
USGS	430429089230301	GW	1952-04-15		UTC	84.89				
USGS	430429089230301	GW	1952-05-15		UTC	85.45				
USGS	430429089230301	GW	1952-06-17		UTC	86				
USGS	430429089230301	GW	1952-07-15		UTC	86.23				
USGS	430429089230301	GW	1952-08-15		UTC	86.45				
USGS	430429089230301	GW	1952-09-16		UTC	86.68				
USGS	430429089230301	GW	1952-10-14		UTC	86.85				
USGS	430429089230301	GW	1952-11-15		UTC	86.48				
USGS	430429089230301	GW	1952-12-12		UTC	86.11				
USGS	430429089230301	GW	1953-01-15		UTC	85.78				
USGS	430429089230301	GW	1953-02-09		UTC	85.44				
USGS	430429089230301	GW	1953-03-15		UTC	84.80				
USGS	430429089230301	GW	1953-04-14		UTC	84.15				
USGS	430429089230301	GW	1953-05-15		UTC	85.24				
USGS	430429089230301	GW	1953-06-23		UTC	86.33				
USGS	430429089230301	GW	1953-07-15		UTC	87.89				
USGS	430429089230301	GW	1953-08-31		UTC	89.44				
USGS	430429089230301	GW	1953-09-15		UTC	88.70				
USGS	430429089230301	GW	1953-10-20		UTC	87.95				
USGS	430429089230301	GW	1953-11-15		UTC	87.30				
USGS	430429089230301	GW	1953-12-15		UTC	86.65				
USGS	430429089230301	GW	1954-01-13		UTC	86				
USGS	430429089230301	GW	1954-02-15		UTC	85.81				
USGS	430429089230301	GW	1954-03-09		UTC	85.62				
USGS	430429089230301	GW	1954-04-15		UTC	84.69				
USGS	430429089230301	GW	1954-05-10		UTC	83.76				
USGS	430429089230301	GW	1954-06-15		UTC	83.68				
USGS	430429089230301	GW	1954-07-13		UTC	83.6				
USGS	430429089230301	GW	1954-08-15		UTC	84.22				
USGS	430429089230301	GW	1954-09-17		UTC	84.84				
USGS	430429089230301	GW	1954-10-15		UTC	84.87				
USGS	430429089230301	GW	1954-11-15		UTC	84.90				
USGS	430429089230301	GW	1954-12-15		UTC	84.93				
USGS	430429089230301	GW	1955-01-15		UTC	84.97				
USGS	430429089230301	GW	1955-02-15		UTC	85.00				
USGS	430429089230301	GW	1955-03-15		UTC	85.03				
USGS	430429089230301	GW	1955-04-15		UTC	85.06				
USGS	430429089230301	GW	1955-05-15		UTC	85.09				
USGS	430429089230301	GW	1955-06-15		UTC	85.12				
USGS	430429089230301	GW	1955-07-15		UTC	85.16				
USGS	430429089230301	GW	1955-08-15		UTC	85.19				
USGS	430429089230301	GW	1955-09-15		UTC	85.22				
USGS	430429089230301	GW	1955-10-15		UTC	85.25				
USGS	430429089230301	GW	1955-11-15		UTC	85.28				
USGS	430429089230301	GW	1955-12-15		UTC	85.31				
USGS	430429089230301	GW	1956-01-15		UTC	85.34				
USGS	430429089230301	GW	1956-02-15		UTC	85.38				
USGS	430429089230301	GW	1956-03-15		UTC	85.41				
USGS	430429089230301	GW	1956-04-15		UTC	85.44				
